time_s,force_n,active_particles,mean_damage
0.00000000,0.00000000,0,0.00000000
0.01666667,0.00000000,0,0.00000000
0.03333333,0.00000000,0,0.00000000
0.05000000,30.75822830,10,0.00015584
0.06666667,184.21674347,24,0.00108917
0.08333333,380.46928406,28,0.00301683
0.10000000,537.80462646,28,0.00574162
0.11666667,585.74345398,29,0.00870930
0.13333333,514.36183929,42,0.01131532
0.15000000,537.73966217,54,0.01403978
0.16666667,604.22450256,56,0.01710109
0.18333333,617.88627625,48,0.02023162
0.20000000,595.71868896,42,0.02324984
0.21666667,533.15841675,32,0.02595109
0.23333333,481.93428040,42,0.02839282
0.25000000,519.04477692,56,0.03102256
0.26666667,583.44194031,54,0.03397858
0.28333333,626.45425415,39,0.03715251
0.30000000,588.88429260,36,0.04013609
0.31666667,568.54450989,51,0.04301663
0.33333333,616.84606934,56,0.04614189
0.35000000,618.15721130,53,0.04927380
0.36666667,603.99737549,42,0.05233396
0.38333333,557.29721069,33,0.05515752
0.40000000,508.58675385,44,0.05773426
0.41666667,547.29629517,56,0.06050717
0.43333333,600.63557434,56,0.06355027
0.45000000,614.89944458,45,0.06666569
0.46666667,595.49250793,35,0.06968273
0.48333333,538.51246643,44,0.07241114
0.50000000,570.92683411,56,0.07530375
0.51666667,609.11662292,56,0.07838985
0.53333333,611.77551270,45,0.08148940
0.55000000,593.67228699,32,0.08449724
0.56666667,531.88929749,42,0.08719205
0.58333333,554.01766968,56,0.08999900
0.60000000,605.22816467,56,0.09306545
0.61666667,612.07360840,47,0.09616647
0.63333333,604.05747986,35,0.09922696
0.65000000,537.67208862,42,0.10195109
0.66666667,544.71841431,52,0.10471092
0.68333333,599.16824341,56,0.10774659
0.70000000,610.05126953,50,0.11083742
0.71666667,609.38809204,38,0.11392490
0.73333333,546.25149536,38,0.11669248
0.75000000,538.21856689,52,0.11941936
0.76666667,595.65132141,56,0.12243726
0.78333333,611.70997620,51,0.12553649
0.80000000,612.06117249,38,0.12863745
0.81666667,555.74784851,37,0.13145315
0.83333333,533.75624084,49,0.13415748
0.85000000,588.27180481,56,0.13713796
0.86666667,609.39218140,54,0.14022544
0.88333333,611.38278198,42,0.14332302
0.90000000,566.06788635,35,0.14619100
0.91666667,528.70571899,47,0.14886971
0.93333333,579.23655701,56,0.15180439
0.95000000,609.36476135,54,0.15489177
0.96666667,613.18649292,42,0.15799842
0.98333333,576.81298828,33,0.16092097
1.00000000,529.76513672,45,0.16360494
1.01666667,572.37783813,56,0.16650496
1.03333333,607.98278809,56,0.16958529
1.05000000,612.44236755,44,0.17268824
1.06666667,584.93638611,35,0.17565184
1.08333333,529.67338562,43,0.17833546
1.10000000,560.42303467,56,0.18117487
1.11666667,604.97895813,56,0.18423996
1.13333333,611.13467407,46,0.18733631
1.15000000,595.29483032,34,0.19035245
1.16666667,533.66523743,42,0.19305620
1.18333333,549.62452698,54,0.19584084
1.20000000,599.96192932,56,0.19888064
1.21666667,607.32183838,47,0.20195765
1.23333333,600.87084961,35,0.20500183
1.25000000,534.79634094,40,0.20771137
1.26666667,526.87377930,50,0.21038088
1.28333333,572.68669128,56,0.21328232
1.30000000,577.58834839,50,0.21620869
1.31666667,572.87002563,41,0.21911116
1.33333333,499.42596436,28,0.22164156
1.35000000,346.33282471,28,0.22339623
1.36666667,213.42491531,28,0.22447755
1.38333333,93.02883530,24,0.22494883
1.40000000,22.46626848,14,0.22506269
1.41666667,0.00000000,0,0.22506269
1.43333333,0.00000000,0,0.22506269
1.45000000,0.00000000,0,0.22506271
1.46666667,0.00000000,0,0.22506269
1.48333333,0.00000000,0,0.22506274
