time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
0.00000000,161.40700531,71.92240286,89.48459816,15,0.00491349
0.01666667,163.31758690,72.43935204,90.87823582,17,0.00985738
0.03333333,189.24992847,83.67737722,105.57255697,22,0.01555687
0.05000000,224.88071156,97.24694014,127.63378334,29,0.02216124
0.06666667,258.82876301,110.99315786,147.83559418,37,0.02967037
0.08333333,278.48242760,122.52808475,155.95433521,46,0.03792187
0.10000000,268.82243824,120.04450321,148.77792549,50,0.04596364
0.11666667,245.54622078,114.30179739,131.24442577,55,0.05357586
0.13333333,224.96506405,109.40624046,115.55882168,59,0.06083508
0.15000000,210.26045132,105.35341835,104.90703058,63,0.06786261
0.16666667,207.35899734,106.93962765,100.41935444,69,0.07503715
0.18333333,234.13648510,108.27843904,125.85806656,75,0.08233877
0.20000000,257.68453884,104.02387762,153.66067791,78,0.08938451
0.21666667,264.64311790,100.78494072,163.85816383,82,0.09623539
0.23333333,275.20538330,100.72501230,174.48039150,87,0.10310062
0.25000000,281.06013489,99.86697054,181.19314861,92,0.10991894
0.26666667,287.31359863,97.14098692,190.17261887,96,0.11655586
0.28333333,274.75005341,92.31291676,182.43712521,100,0.12286106
0.30000000,276.58293915,91.39208746,185.19086647,104,0.12909504
0.31666667,281.47986794,95.81718922,185.66269398,111,0.13561589
0.33333333,281.28236389,98.17622852,183.10614109,116,0.14227580
0.35000000,276.32513046,96.48122072,179.84388256,121,0.14879397
0.36666667,250.25406742,92.75934362,157.49473381,125,0.15503033
0.38333333,215.27620888,89.04328632,126.23295403,129,0.16098389
0.40000000,206.30776310,90.87662458,115.43114519,134,0.16702347
0.41666667,213.54572392,96.47890472,117.06681538,140,0.17343307
0.43333333,238.09976673,100.10409021,137.99568129,146,0.18012385
0.45000000,261.05298328,98.95273972,162.10024548,150,0.18677417
0.46666667,283.82760048,96.56163931,187.26598930,154,0.19329583
0.48333333,311.95517349,98.68147898,213.27369404,159,0.19998861
0.50000000,338.32775688,104.40147305,233.92628002,165,0.20709253
0.51666667,358.57494736,105.04221106,253.53273582,170,0.21425684
0.53333333,353.07426262,100.84870768,252.22557354,174,0.22114456
0.55000000,350.63430786,97.40518379,253.22907162,179,0.22779955
0.56666667,354.09269524,95.67848396,258.41415215,183,0.23433251
0.58333333,353.29144287,99.50098801,253.79047012,189,0.24111501
0.60000000,353.14496994,100.86933470,252.27564049,195,0.24797309
0.61666667,328.77757454,98.24412727,230.53344154,199,0.25462916
0.63333333,302.16174507,96.23224640,205.92949009,204,0.26112051
0.65000000,281.60916710,93.61649942,187.99261093,208,0.26740344
0.66666667,253.19807434,94.11351347,159.08456039,213,0.27368346
0.68333333,234.73977280,96.46276855,138.27698612,218,0.28008474
0.70000000,238.83307076,98.19424534,140.63885260,223,0.28662161
0.71666667,271.33542061,98.36446333,172.97097492,228,0.29320853
0.73333333,313.47003365,97.24119902,216.22879219,232,0.29975500
0.75000000,340.24375534,95.35279846,244.89091873,236,0.30620473
0.76666667,375.32555199,98.25037861,277.07521629,242,0.31287607
0.78333333,402.48278809,101.11012268,301.37269402,247,0.31976215
0.80000000,423.69654083,101.15914631,322.53748703,252,0.32666545
0.81666667,432.29723740,99.38331175,332.91390991,257,0.33345475
0.83333333,423.91107368,95.37933207,328.53175926,261,0.33997087
0.85000000,424.27665329,95.31750774,328.95912170,266,0.34647631
0.86666667,416.83559608,97.53128815,319.30428314,271,0.35311935
0.88333333,404.12685394,97.92414188,306.20269585,276,0.35977007
0.90000000,383.33301735,96.97746515,286.35555840,282,0.36633128
0.91666667,342.15280914,94.25921726,247.89358807,286,0.37267921
0.93333333,304.29900360,91.40238237,212.89665794,290,0.37880200
0.95000000,266.05424786,93.32629156,172.72794628,296,0.38501707
0.96666667,247.48389721,96.03976107,151.44412518,301,0.39138960
0.98333333,269.33733559,98.18722343,171.15008259,306,0.39793929
1.00000000,311.20279503,99.52609921,211.67670536,312,0.40461641
1.01666667,360.59323692,97.90795612,262.68525505,316,0.41121866
1.03333333,399.46589279,99.46963310,299.99629784,321,0.41795616
1.05000000,442.49030876,102.78328609,339.70702362,327,0.42494292
1.06666667,467.15563393,102.54292583,364.61264038,332,0.43193189
1.08333333,478.29396629,101.23722410,377.05672264,336,0.43884388
1.10000000,490.49838638,98.88276100,391.61561203,341,0.44559972
1.11666667,482.03728676,96.27474403,385.76254463,345,0.45217563
1.13333333,484.28138161,98.96379805,385.31750488,351,0.45892604
1.15000000,468.59628868,99.57201290,369.02427673,356,0.46570243
1.16666667,433.56895828,98.07030201,335.49869156,361,0.47235523
1.18333333,400.98251534,96.65220451,304.33035660,366,0.47888502
1.20000000,354.04565048,92.99769211,261.04798126,370,0.48513746
1.21666667,312.06151199,94.14432716,217.91719151,375,0.49143193
1.23333333,281.21546936,96.78234529,184.43310070,380,0.49786398
1.25000000,273.83922768,96.99883270,176.84040070,385,0.50430800
1.26666667,315.80493736,97.23058939,218.57434273,390,0.51080648
1.28333333,371.02220345,96.18538094,274.83680820,394,0.51727084
1.30000000,428.20809746,95.48560619,332.72251129,398,0.52372001
1.31666667,480.87521553,99.35018301,381.52504730,403,0.53045813
1.33333333,522.33133888,101.06046247,421.27087402,409,0.53733466
1.35000000,554.53730774,100.40730524,454.12999344,414,0.54418281
1.36666667,568.76878738,98.89239120,469.87639999,419,0.55093692
1.38333333,571.04752731,95.95215034,475.09539413,422,0.55749273
1.40000000,570.67335892,97.13144255,473.54180145,428,0.56412484
1.41666667,558.40476227,98.52497816,459.87985802,433,0.57084085
1.43333333,535.43026352,97.63008308,437.80016899,438,0.57747863
1.45000000,498.89811134,96.57494259,402.32316971,443,0.58402161
1.46666667,446.58403778,94.83437634,351.74959755,448,0.59041874
1.48333333,395.64068604,93.68661785,301.95409012,452,0.59670612
