time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
0.00000000,1.98739275,1.41904968,0.56834273,2,0.00000951
0.01666667,154.70724869,112.24915946,42.45808840,18,0.00076159
0.03333333,318.43546677,264.72946358,53.70600390,18,0.00253530
0.05000000,464.03100395,366.13483429,97.89616966,18,0.00498844
0.06666667,588.89756012,459.16517639,129.73237514,22,0.00806490
0.08333333,659.42717743,502.18283463,157.24427509,28,0.01142957
0.10000000,705.57340622,530.12509155,175.44831276,38,0.01498147
0.11666667,712.61833572,546.14616394,166.47216415,43,0.01864070
0.13333333,681.46153641,542.35155106,139.10996437,41,0.02227451
0.15000000,635.62495422,531.35808945,104.26687813,37,0.02583466
0.16666667,610.34267426,507.93688202,102.40579224,36,0.02923789
0.18333333,583.72950745,490.15764236,93.57184172,41,0.03252200
0.20000000,657.41255569,536.04780579,121.36476469,47,0.03611357
0.21666667,719.81040573,576.35770798,143.45268631,44,0.03997523
0.23333333,691.51497269,573.08460617,118.43036413,36,0.04381495
0.25000000,624.10198975,515.50053215,108.60147333,37,0.04726885
0.26666667,594.36960983,477.40778351,116.96182919,37,0.05046754
0.28333333,612.57909012,489.61277580,122.96633244,45,0.05374800
0.30000000,625.62771606,514.42077827,111.20693874,47,0.05719468
0.31666667,647.60621643,531.86324310,115.74298620,38,0.06075821
0.33333333,619.26230240,526.33201218,92.93029451,36,0.06428470
0.35000000,571.54224396,486.53647804,85.00579166,37,0.06754453
0.36666667,592.87505341,511.84997940,81.02504969,44,0.07097399
0.38333333,631.45768356,561.40294266,70.05474663,48,0.07473542
0.40000000,647.00873947,570.54459763,76.46415329,42,0.07855817
0.41666667,615.89132690,545.55215073,70.33919239,36,0.08221342
0.43333333,565.28098679,494.26337624,71.01760340,36,0.08552502
0.45000000,583.80908203,502.98831177,80.82077217,43,0.08889508
0.46666667,622.34975815,540.85417557,81.49558783,48,0.09251889
0.48333333,640.54836655,553.42431641,87.12405539,42,0.09622686
0.50000000,645.77305984,542.03833771,103.73475075,36,0.09985858
0.51666667,574.41573334,495.38112450,79.03462505,35,0.10317769
0.53333333,552.12843323,494.70607567,57.42233515,42,0.10649226
0.55000000,606.01038742,542.06723022,63.94316769,47,0.11012418
0.56666667,626.89860916,559.36935043,67.52924204,44,0.11387201
0.58333333,611.86625290,546.50047684,65.36577678,36,0.11753361
0.60000000,527.86620712,487.66420364,40.20199203,31,0.12080104
0.61666667,501.07908440,456.95825768,44.12080979,38,0.12386270
0.63333333,573.35433197,481.99399185,91.36030054,46,0.12709210
0.65000000,617.33903503,514.85360146,102.48545218,47,0.13054167
0.66666667,618.02248764,529.16592026,88.85656309,39,0.13408712
0.68333333,593.49928665,518.70219612,74.79712915,36,0.13756248
0.70000000,525.40995789,462.95434570,62.45562935,35,0.14066432
0.71666667,530.34626389,468.69460297,61.65165329,40,0.14380464
0.73333333,591.90977478,520.50560379,71.40419745,48,0.14729209
0.75000000,633.06081772,552.52441025,80.53639984,43,0.15099403
0.76666667,619.92377853,554.90515518,65.01860404,36,0.15471194
0.78333333,540.48269653,494.27208138,46.21060085,32,0.15802362
0.80000000,552.15495300,492.23660088,59.91835403,41,0.16132165
0.81666667,628.60721970,552.26232147,76.34487963,47,0.16502184
0.83333333,652.90342712,576.84581375,76.05762768,44,0.16888682
0.85000000,628.77732849,560.59998322,68.17735839,33,0.17264288
0.86666667,562.33269501,503.65608597,58.67660952,33,0.17601741
0.88333333,571.57910156,503.56509018,68.01404905,42,0.17939135
0.90000000,615.36574173,550.59971619,64.76597691,47,0.18308039
0.91666667,633.69683838,566.34904861,67.34773588,45,0.18687498
0.93333333,613.81995392,550.79781723,63.02215075,36,0.19056541
0.95000000,548.55455780,501.45287323,47.10168147,31,0.19392519
0.96666667,526.54548073,468.63620567,57.90927124,38,0.19706506
0.98333333,580.04588318,494.88013458,85.16574144,46,0.20038083
1.00000000,618.68932343,526.92763138,91.76171923,46,0.20391134
1.01666667,607.98706055,540.85374832,67.13329959,39,0.20753508
1.03333333,557.87107849,514.22045898,43.65061903,33,0.21098042
1.05000000,518.23355293,475.63354492,42.60005140,35,0.21416713
1.06666667,559.56136703,493.20778847,66.35359669,43,0.21747173
1.08333333,613.84560013,544.46716309,69.37845516,47,0.22111967
1.10000000,621.03547668,562.24754715,58.78794813,40,0.22488677
1.11666667,582.21011734,533.12848282,49.08162093,35,0.22845880
1.13333333,544.90796661,501.04783440,43.86013985,36,0.23181588
1.15000000,577.44619751,525.02710533,52.41907883,44,0.23533362
1.16666667,623.64649582,569.76673889,53.87974811,48,0.23915110
1.18333333,618.88048935,574.27523041,44.60525966,40,0.24299886
1.20000000,589.02072144,541.02217102,47.99853158,33,0.24662369
1.21666667,571.36562347,517.56784058,53.79778647,38,0.25009146
1.23333333,599.88339615,547.76210403,52.12131548,46,0.25376156
1.25000000,642.25457764,575.27293396,66.98168087,47,0.25761605
1.26666667,599.14769363,549.56441498,49.58327413,38,0.26129814
1.28333333,511.18969345,465.09938622,46.09030390,28,0.26441425
1.30000000,400.12519264,357.90378189,42.22140336,24,0.26681228
1.31666667,290.66262531,255.41074276,35.25187778,24,0.26852364
1.33333333,164.57076550,135.29788685,29.27288079,22,0.26942998
1.35000000,57.50996721,46.85569942,10.65426639,17,0.26974398
1.36666667,8.27792247,6.58222720,1.69569542,7,0.26978820
1.38333333,0.00000000,0.00000000,0.00000000,0,0.26978825
1.40000000,0.00000000,0.00000000,0.00000000,0,0.26978820
1.41666667,0.00000000,0.00000000,0.00000000,0,0.26978820
1.43333333,0.00000000,0.00000000,0.00000000,0,0.26978823
1.45000000,0.00000000,0.00000000,0.00000000,0,0.26978823
1.46666667,0.00000000,0.00000000,0.00000000,0,0.26978823
1.48333333,0.00000000,0.00000000,0.00000000,0,0.26978823
