time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000
0.01666667,0.00000000,0.00000000,0.00000000,0,0.00000000
0.03333333,0.00069975,0.00054115,0.00015860,0,0.00000345
0.05000000,0.01135845,0.00873672,0.00262173,0,0.00005923
0.06666667,0.02410622,0.01823666,0.00586956,1,0.00017565
0.08333333,0.04456627,0.03362038,0.01094589,2,0.00039026
0.10000000,0.08471241,0.06053719,0.02417522,3,0.00077667
0.11666667,0.15158756,0.09649662,0.05509094,5,0.00139255
0.13333333,0.20555677,0.11849351,0.08706327,7,0.00214875
0.15000000,0.24930990,0.13033910,0.11897080,9,0.00298047
0.16666667,0.26399139,0.12127379,0.14271760,11,0.00375425
0.18333333,0.24989457,0.09924912,0.15064545,12,0.00438744
0.20000000,0.27881228,0.11879583,0.16001644,14,0.00514524
0.21666667,0.32942588,0.14708845,0.18233743,17,0.00608340
0.23333333,0.35638523,0.15699891,0.19938633,19,0.00708465
0.25000000,0.37124324,0.15404908,0.21719417,21,0.00806697
0.26666667,0.36938101,0.14088357,0.22849743,24,0.00896523
0.28333333,0.33259516,0.10956559,0.22302958,24,0.00966373
0.30000000,0.33056639,0.09702281,0.23354357,25,0.01028220
0.31666667,0.34071322,0.09198462,0.24872863,27,0.01086849
0.33333333,0.35458735,0.09003143,0.26455593,29,0.01144228
0.35000000,0.35811139,0.08212120,0.27599018,30,0.01196562
0.36666667,0.34967241,0.07196930,0.27770311,31,0.01242423
0.38333333,0.35313027,0.07245615,0.28067412,31,0.01288593
0.40000000,0.36387842,0.07346717,0.29041126,33,0.01335406
0.41666667,0.37512659,0.07042005,0.30470654,34,0.01380277
0.43333333,0.38747496,0.06486804,0.32260693,35,0.01421610
0.45000000,0.39837112,0.06063465,0.33773646,36,0.01460248
0.46666667,0.40864217,0.06395793,0.34468424,36,0.01501005
0.48333333,0.44934581,0.08094430,0.36840152,38,0.01552590
0.50000000,0.49237842,0.09732426,0.39505415,39,0.01614619
0.51666667,0.52906125,0.10337052,0.42569075,41,0.01680508
0.53333333,0.54529747,0.09219923,0.45309823,42,0.01739282
0.55000000,0.54344584,0.07385147,0.46959437,43,0.01786366
0.56666667,0.57512052,0.07407265,0.50104789,44,0.01833596
0.58333333,0.62399531,0.07786353,0.54613176,45,0.01883249
0.60000000,0.67644729,0.08401178,0.59243549,47,0.01936830
0.61666667,0.72162783,0.08577764,0.63585019,48,0.01991543
0.63333333,0.74570692,0.07764795,0.66805898,49,0.02041077
0.65000000,0.77226328,0.07845860,0.69380472,50,0.02091134
0.66666667,0.83135217,0.08984202,0.74151015,51,0.02148460
0.68333333,0.88960370,0.09659467,0.79300904,53,0.02210101
0.70000000,0.93913415,0.09698717,0.84214694,54,0.02271999
0.71666667,0.97311153,0.08908970,0.88402186,56,0.02328861
0.73333333,0.98199546,0.07798308,0.90401240,56,0.02378639
0.75000000,1.03506091,0.08745176,0.94760916,58,0.02434465
0.76666667,1.10415763,0.10064125,1.00351638,60,0.02498714
0.78333333,1.16464776,0.10673474,1.05791306,61,0.02566857
0.80000000,1.20477886,0.10080048,1.10397835,63,0.02631214
0.81666667,1.21209446,0.08557363,1.12652081,64,0.02685850
0.83333333,1.23779520,0.09372487,1.14407025,65,0.02745692
0.85000000,1.29530697,0.11017264,1.18513435,67,0.02816036
0.86666667,1.35197656,0.12064766,1.23132893,69,0.02893068
0.88333333,1.38724577,0.11716063,1.27008515,71,0.02967872
0.90000000,1.39380866,0.09891014,1.29489860,72,0.03031022
0.91666667,1.35859162,0.07302746,1.28556420,72,0.03077644
0.93333333,1.36844876,0.06745743,1.30099131,73,0.03120709
0.95000000,1.39107780,0.06896242,1.32211540,74,0.03164731
0.96666667,1.41243099,0.06653579,1.34589522,75,0.03207201
0.98333333,1.41914968,0.05854176,1.36060785,76,0.03244566
1.00000000,1.39706016,0.05056530,1.34649483,76,0.03276837
1.01666667,1.40532645,0.07113969,1.33418669,78,0.03322233
1.03333333,1.42298212,0.09118943,1.33179279,79,0.03380418
1.05000000,1.42710517,0.09957366,1.32753158,81,0.03443945
1.06666667,1.42498228,0.09834089,1.32664141,82,0.03506679
1.08333333,1.39251220,0.08182296,1.31068930,84,0.03558870
1.10000000,1.33749580,0.06340370,1.27409209,83,0.03599306
1.11666667,1.32290122,0.06248464,1.26041658,84,0.03639151
1.13333333,1.31583102,0.06551401,1.25031681,86,0.03680924
1.15000000,1.30404324,0.06465469,1.23938853,87,0.03722143
1.16666667,1.28064407,0.05616012,1.22448394,88,0.03757944
1.18333333,1.24898989,0.05500707,1.19398277,88,0.03793005
1.20000000,1.27466229,0.09557362,1.17908874,90,0.03853918
1.21666667,1.30064841,0.12892593,1.17172246,93,0.03936080
1.23333333,1.31424215,0.14369817,1.17054397,95,0.04027651
1.25000000,1.30829215,0.13757967,1.17071243,97,0.04115319
1.26666667,1.28026360,0.11300972,1.16725390,98,0.04187328
1.28333333,1.26297621,0.09546316,1.16751303,99,0.04248157
1.30000000,1.28552351,0.09569944,1.18982407,100,0.04309135
1.31666667,1.31430006,0.09530746,1.21899256,102,0.04369866
1.33333333,1.34433343,0.09205775,1.25227565,103,0.04428529
1.35000000,1.36915399,0.08210760,1.28704623,105,0.04480855
1.36666667,1.38820033,0.07294848,1.31525183,105,0.04527347
1.38333333,1.44656593,0.08334548,1.36322053,107,0.04580470
1.40000000,1.52731661,0.10082951,1.42648710,109,0.04644744
1.41666667,1.60399713,0.11209506,1.49190208,111,0.04716207
1.43333333,1.67083904,0.11434410,1.55649497,112,0.04789113
1.45000000,1.72649728,0.11323963,1.61325753,114,0.04861323
1.46666667,1.79255271,0.11958605,1.67296666,116,0.04937589
1.48333333,1.87432736,0.12827751,1.74604989,118,0.05019408
1.50000000,1.95250557,0.13134724,1.82115843,120,0.05103197
1.51666667,2.02762957,0.13159867,1.89603089,122,0.05187154
1.53333333,2.08719130,0.12604188,1.96114944,123,0.05267576
