time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000
0.01666667,0.00000000,0.00000000,0.00000000,0,0.00000000
0.03333333,0.00000000,0.00000000,0.00000000,0,0.00000000
0.05000000,0.05835941,0.05611101,0.00224840,0,0.00001169
0.06666667,0.89418229,0.87703802,0.01714428,1,0.00019444
0.08333333,1.99140605,1.97729036,0.01411570,1,0.00060646
0.10000000,2.64897279,2.63447341,0.01449937,2,0.00115541
0.11666667,2.75599156,2.71579483,0.04019677,3,0.00172131
0.13333333,2.75461364,2.58443634,0.17017729,3,0.00225983
0.15000000,3.06912890,2.81374714,0.25538173,3,0.00284614
0.16666667,3.40744759,2.92350197,0.48394575,4,0.00345532
0.18333333,3.85853025,2.73848192,1.12004825,4,0.00402595
0.20000000,4.85502788,2.23862354,2.61640429,4,0.00449241
0.21666667,7.38557962,2.36436769,5.02121198,4,0.00498508
0.23333333,10.00173098,2.72524461,7.27648675,5,0.00555295
0.25000000,7.11542642,2.69163577,4.42379072,5,0.00611382
0.26666667,7.60552403,2.58620453,5.01931942,5,0.00665271
0.28333333,5.84640166,2.45317924,3.39322235,5,0.00716389
0.30000000,5.13553038,2.75313669,2.38239394,5,0.00773757
0.31666667,5.75862959,2.92947723,2.82915230,6,0.00834799
0.33333333,4.63488290,2.82948323,1.80539962,6,0.00893758
0.35000000,5.66091394,2.65652290,3.00439090,6,0.00949113
0.36666667,5.49955738,2.76988424,2.72967313,6,0.01006829
0.38333333,6.12455484,3.00374205,3.12081276,7,0.01069419
0.40000000,4.74894065,2.92525956,1.82368113,7,0.01130374
0.41666667,4.30616862,2.69600292,1.61016583,7,0.01186551
0.43333333,6.59604496,2.68666410,3.90938090,7,0.01242534
0.45000000,6.39125600,2.87022211,3.52103385,7,0.01302342
0.46666667,5.92611039,2.90532586,3.02078485,7,0.01362881
0.48333333,4.79440030,2.76078431,2.03361598,7,0.01420408
0.50000000,6.00788325,2.65689375,3.35098947,7,0.01475771
0.51666667,6.18038535,2.76123564,3.41914949,7,0.01533307
0.53333333,6.47056317,2.93224362,3.53831951,7,0.01594407
0.55000000,4.52990030,2.94370003,1.58620042,8,0.01655746
0.56666667,4.98173083,2.84519723,2.13653371,8,0.01715032
0.58333333,7.21128350,2.91244490,4.29883839,8,0.01775720
0.60000000,6.96791202,3.06076248,3.90714926,8,0.01839498
0.61666667,5.35789242,3.00330910,2.35458335,9,0.01902078
0.63333333,5.11174050,2.79710820,2.31463240,9,0.01960363
0.65000000,7.28866142,2.75337073,4.53529052,10,0.02017736
0.66666667,6.56029561,2.88644227,3.67385365,10,0.02077881
0.68333333,5.44853422,2.89410456,2.55442979,10,0.02138186
0.70000000,4.49943537,2.73164739,1.76778799,10,0.02195106
0.71666667,6.23389700,2.73990139,3.49399559,10,0.02252199
0.73333333,6.36927718,2.89755747,3.47171979,10,0.02312576
0.75000000,6.37796724,3.00544050,3.37252687,10,0.02375201
0.76666667,4.97085816,2.88998383,2.08087441,10,0.02435420
0.78333333,6.41691628,2.91989802,3.49701826,10,0.02496263
0.80000000,7.37507138,3.08353318,4.29153809,10,0.02560516
0.81666667,7.43020433,3.14281175,4.28739260,11,0.02626003
0.83333333,5.58627784,2.95369478,2.63258305,11,0.02687550
0.85000000,7.08281943,2.87504777,4.20777190,12,0.02747459
0.86666667,7.16419706,2.97588378,4.18831311,12,0.02809468
0.88333333,7.87698227,3.07922536,4.79775703,12,0.02873630
0.90000000,6.04301235,2.88152142,3.16149092,13,0.02933674
0.91666667,6.32184991,2.83219269,3.48965730,13,0.02992689
0.93333333,7.46018595,2.94325835,4.51692788,13,0.03054019
0.95000000,7.15015125,3.15143046,3.99872087,13,0.03119686
0.96666667,6.16305098,2.96427356,3.19877753,12,0.03181454
0.98333333,5.58181748,2.82364145,2.75817582,12,0.03240290
1.00000000,7.34167689,2.87768197,4.46399492,13,0.03300253
1.01666667,6.44038889,3.10856712,3.33182198,13,0.03365028
1.03333333,6.50845084,2.95240097,3.55604966,13,0.03426547
1.05000000,5.54512182,2.74830362,2.79681790,13,0.03483815
1.06666667,7.40652415,2.78205025,4.62447368,13,0.03541785
1.08333333,5.99239472,3.02794583,2.96444879,13,0.03604879
1.10000000,7.14316046,3.00377439,4.13938619,13,0.03667470
1.11666667,5.17216045,2.76897129,2.40318905,13,0.03725167
1.13333333,6.73723477,2.76645170,3.97078273,13,0.03782813
1.15000000,6.29899919,2.90563981,3.39335935,13,0.03843359
1.16666667,6.82776615,3.03884299,3.78892311,13,0.03906680
1.18333333,5.67718285,2.83026683,2.84691595,13,0.03965655
1.20000000,6.10035634,2.72988069,3.37047580,14,0.04022539
1.21666667,7.11959285,2.81352615,4.30606632,14,0.04081164
1.23333333,6.95970565,3.08108668,3.87861893,14,0.04145366
1.25000000,6.50062633,2.94273514,3.55789101,14,0.04206684
1.26666667,5.49023753,2.78302708,2.70721053,14,0.04264675
1.28333333,7.71872583,2.79718560,4.92154013,14,0.04322961
1.30000000,6.36913672,2.99145286,3.37768389,14,0.04385294
1.31666667,6.91145161,2.92740665,3.98404501,14,0.04446294
1.33333333,5.51814467,2.72856480,2.78957973,14,0.04503150
1.35000000,6.98791280,2.73832890,4.24958396,15,0.04560209
1.36666667,6.12928015,2.81601013,3.31327005,14,0.04618887
1.38333333,6.98417419,2.91461645,4.06955779,15,0.04679620
1.40000000,5.52245110,2.72794208,2.79450886,15,0.04736463
1.41666667,6.22077131,2.72686256,3.49390897,15,0.04793284
1.43333333,6.76320300,2.73942684,4.02377644,15,0.04850366
1.45000000,6.47183794,2.91462378,3.55721426,15,0.04911098
1.46666667,5.81419504,2.76588608,3.04830922,15,0.04968731
1.48333333,5.83739105,2.69852386,3.13886702,15,0.05024962
1.50000000,7.12826532,2.64397369,4.48429157,16,0.05080055
1.51666667,5.94338948,2.70196144,3.24142784,16,0.05136357
1.53333333,6.19780937,2.62683722,3.57097223,15,0.05191093
