time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
0.00000000,11.34083652,7.58006650,3.76077005,9,0.00304034
0.01666667,18.05294657,12.08937985,5.96356642,10,0.00788641
0.03333333,21.72049427,14.66507506,7.05541909,10,0.01375808
0.05000000,21.53351831,15.10213941,6.43137953,10,0.01979484
0.06666667,16.38984698,13.51779312,2.87205384,12,0.02518765
0.08333333,15.50150263,13.07215309,2.42935001,18,0.03040191
0.10000000,20.06669581,14.49608022,5.57061541,20,0.03619579
0.11666667,22.39002562,15.73924261,6.65078384,20,0.04249709
0.13333333,23.18902779,15.62179387,7.56723484,19,0.04875888
0.15000000,21.09471869,14.10010427,6.99461389,16,0.05441436
0.16666667,18.80742598,12.82800949,5.97941691,16,0.05955972
0.18333333,20.40961897,14.05982679,6.34979329,18,0.06519573
0.20000000,21.81715262,14.80274200,7.01441050,18,0.07112256
0.21666667,21.26439834,15.03052336,6.23387468,18,0.07713067
0.23333333,16.69895428,13.67727262,3.02168122,18,0.08258711
0.25000000,12.97452903,11.58251601,1.39201258,14,0.08720706
0.26666667,15.42507434,13.34722924,2.07784520,16,0.09254185
0.28333333,17.21148801,15.37891686,1.83257055,16,0.09869890
0.30000000,17.29542470,15.38469553,1.91072913,16,0.10486566
0.31666667,15.70769686,13.85164076,1.85605655,18,0.11042148
0.33333333,16.22715962,13.45388794,2.77327187,18,0.11581788
0.35000000,17.12580931,14.81653577,2.30927351,16,0.12175725
0.36666667,17.32042277,15.12866908,2.19175388,16,0.12781462
0.38333333,15.96850836,14.44893217,1.51957574,16,0.13359030
0.40000000,14.18996173,13.16159016,1.02837154,18,0.13884092
0.41666667,14.19115120,12.87178195,1.31936933,19,0.14397522
0.43333333,15.65883362,14.07236594,1.58646809,16,0.14959973
0.45000000,16.36556721,14.80334556,1.56222154,16,0.15552630
0.46666667,15.64571339,14.63540131,1.01031196,16,0.16139270
0.48333333,15.72139060,13.41503066,2.30636001,17,0.16677339
0.50000000,17.78542411,12.44601226,5.33941177,18,0.17176554
0.51666667,20.46188283,13.77417338,6.68770957,16,0.17728704
0.53333333,22.11737168,14.97243065,7.14494088,16,0.18328182
0.55000000,21.49644637,15.01808238,6.47836378,16,0.18928497
0.56666667,16.89196408,13.55287927,3.33908466,16,0.19469176
0.58333333,12.10194969,11.09149760,1.01045227,14,0.19911577
0.60000000,13.91228592,11.97565514,1.93663076,16,0.20390234
0.61666667,15.35880339,14.06963640,1.28916672,16,0.20953522
0.63333333,16.51012987,14.51718056,1.99294962,16,0.21535428
0.65000000,15.72907066,13.78750032,1.94156993,16,0.22088438
0.66666667,13.73001546,12.46025515,1.26975993,17,0.22588225
0.68333333,12.92806423,11.68473357,1.24333073,17,0.23056619
0.70000000,14.95864564,12.97442418,1.98422124,16,0.23576099
0.71666667,15.97862267,13.98475409,1.99386851,16,0.24135101
0.73333333,15.65792149,14.01778448,1.64013748,16,0.24694310
0.75000000,14.17469281,13.21464717,0.96004554,16,0.25221409
0.76666667,12.89187330,12.13561434,0.75625910,18,0.25706437
0.78333333,14.45804995,13.05774713,1.40030322,16,0.26229219
0.80000000,16.04212785,14.42996901,1.61215866,16,0.26807631
0.81666667,16.90648496,14.74160719,2.16487784,16,0.27398912
0.83333333,20.08738172,14.01822400,6.06915683,16,0.27961190
0.85000000,18.39618826,12.32630515,6.06988341,17,0.28455307
0.86666667,17.40200222,11.80629778,5.59570444,15,0.28928016
0.88333333,18.72102726,13.47703195,5.24399579,16,0.29466714
0.90000000,17.91158891,14.61248457,3.29910491,16,0.30049647
0.91666667,15.79690307,14.41451317,1.38238969,16,0.30624604
0.93333333,14.05629081,12.91914243,1.13714806,16,0.31140940
0.95000000,14.69836128,12.87116671,1.82719453,16,0.31656251
0.96666667,17.39225030,14.88422740,2.50802313,16,0.32252873
0.98333333,17.52890778,15.38405955,2.14484850,16,0.32869917
1.00000000,16.65673739,14.72939396,1.92734417,16,0.33460726
