time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
0.00000000,32.27283752,14.38487190,17.88796425,1,0.00026620
0.01666667,30.90367687,13.93588769,16.96778882,1,0.00052334
0.03333333,68.49192214,30.67708349,37.81483984,3,0.00108629
0.05000000,101.65831232,44.81197977,56.84633446,4,0.00190247
0.06666667,128.12437248,55.78005219,72.34432030,6,0.00290806
0.08333333,185.93002224,84.10116720,101.82886267,9,0.00440547
0.10000000,263.81909847,117.74981022,146.06928492,13,0.00648974
0.11666667,300.87807465,133.49112415,167.38695145,16,0.00888112
0.13333333,387.83494568,170.53644085,217.29851151,21,0.01197170
0.15000000,505.85876846,215.00502682,290.85374641,28,0.01590317
0.16666667,575.58306122,240.53789806,335.04515648,33,0.02033092
0.18333333,641.36835098,270.63880730,370.72955513,40,0.02533310
0.20000000,692.28704071,290.77835846,401.50870705,47,0.03071507
0.21666667,737.79877472,299.70914268,438.08966064,53,0.03625534
0.23333333,780.86637115,304.15897942,476.70746422,59,0.04185568
0.25000000,836.41503525,326.57290077,509.84208298,68,0.04782946
0.26666667,863.31748199,343.73712158,519.58037376,77,0.05406083
0.28333333,875.13649750,348.31203461,526.82456017,85,0.06030488
0.30000000,808.79651642,344.83955193,463.95702934,92,0.06641053
0.31666667,775.09687424,343.54308128,431.55380821,98,0.07252509
0.33333333,823.68339539,344.08962250,479.59375572,104,0.07872555
0.35000000,888.40213013,362.06629944,526.33581543,112,0.08531752
0.36666667,1022.03565979,377.09314156,644.94242477,121,0.09223772
0.38333333,1135.85507965,398.03290176,737.82218170,130,0.09958176
0.40000000,1148.06595612,384.60410309,763.46184540,136,0.10669757
0.41666667,1087.81080627,356.28229523,731.52857971,141,0.11329005
0.43333333,1053.85055923,330.83954048,723.01101685,146,0.11939599
0.45000000,938.32783508,312.50676537,625.82105255,151,0.12513326
0.46666667,886.00657654,302.81846237,583.18823624,157,0.13064950
0.48333333,872.51859283,302.70320892,569.81528473,164,0.13610775
0.50000000,812.43880463,311.48963737,500.94916916,172,0.14165630
0.51666667,722.23293686,308.77688408,413.45607948,177,0.14712103
0.53333333,743.72275543,303.15655136,440.56618690,182,0.15255131
0.55000000,858.65014648,309.88189697,548.76822853,188,0.15816575
0.56666667,1010.71891403,330.92688370,679.79198837,196,0.16421660
0.58333333,1034.22642517,326.06500626,708.16136169,201,0.17021825
0.60000000,1032.50953674,314.73713684,717.77236176,206,0.17603533
0.61666667,1090.07580566,328.71478081,761.36104202,214,0.18211952
0.63333333,1114.15618134,335.33908653,778.81703568,221,0.18831847
0.65000000,1049.92595291,311.90867233,738.01720810,225,0.19406176
0.66666667,999.03689194,305.80067635,693.23610306,231,0.19965559
0.68333333,993.89568710,320.40233803,673.49336243,239,0.20546397
0.70000000,898.93323898,312.76619530,586.16691971,245,0.21107113
0.71666667,763.63255310,292.93015480,470.70251465,250,0.21625792
0.73333333,773.19115448,301.70410919,471.48701286,256,0.22162827
0.75000000,942.42976379,329.90571594,612.52410507,264,0.22757309
0.76666667,1034.12694168,326.17446327,707.95252228,269,0.23351110
0.78333333,1104.83016205,302.60034370,802.22981644,273,0.23906398
0.80000000,1157.67096710,293.75722694,863.91369629,277,0.24448405
0.81666667,1229.63831329,310.20972252,919.42849731,285,0.25022350
0.83333333,1257.05916595,315.30393600,941.75514221,291,0.25605770
0.85000000,1198.79145050,299.27532005,899.51612854,296,0.26158099
0.86666667,1144.14434052,288.95944023,855.18477631,301,0.26688602
0.88333333,1081.98470306,299.04500961,782.93979645,308,0.27233317
0.90000000,1011.04649734,296.89410019,714.15233994,314,0.27768719
0.91666667,820.22053146,273.51198196,546.70849419,317,0.28255967
0.93333333,702.18035507,271.77873421,430.40162086,323,0.28736978
0.95000000,847.01048279,299.00071907,548.00977325,330,0.29272629
0.96666667,1017.55691528,320.08214760,697.47469711,337,0.29852535
0.98333333,1115.75418854,311.78149223,803.97280121,341,0.30422579
1.00000000,1226.78425598,316.12346458,910.66075897,348,0.31004457
1.01666667,1294.72740936,324.92125702,969.80625534,354,0.31604991
1.03333333,1343.49076843,325.13663101,1018.35406113,361,0.32206790
1.05000000,1319.28849030,316.24411011,1003.04436493,366,0.32791373
1.06666667,1256.62441254,305.22116280,951.40335083,372,0.33353399
1.08333333,1193.19537354,305.19786835,887.99734116,378,0.33911656
1.10000000,1123.10053253,307.30531311,815.79521561,385,0.34468793
1.11666667,968.56405258,295.10314178,673.46087265,391,0.34997835
1.13333333,766.82661438,281.83194160,484.99451065,396,0.35496847
1.15000000,857.89499664,300.10086060,557.79406929,403,0.36031043
1.16666667,1041.73394394,319.82198906,721.91200256,410,0.36607355
1.18333333,1167.09217834,314.75399971,852.33798981,415,0.37180377
1.20000000,1290.63885498,298.12254906,992.51647568,418,0.37727436
1.21666667,1399.05207062,295.60862160,1103.44342041,424,0.38272858
1.23333333,1471.39981842,308.05715179,1163.34249878,430,0.38842820
1.25000000,1474.33719635,297.83045769,1176.50669861,435,0.39393908
1.26666667,1413.96029663,281.51585770,1132.44445038,439,0.39913463
1.28333333,1367.53398895,291.95529747,1075.57862854,446,0.40449424
1.30000000,1305.14817810,308.07825279,997.06988144,454,0.41010610
1.31666667,1123.21095276,293.25434113,829.95661163,459,0.41539439
1.33333333,927.21410751,281.53295517,645.68124390,464,0.42040946
1.35000000,819.60508728,291.53027344,528.07493591,470,0.42556945
1.36666667,971.24228668,313.89593887,657.34627914,477,0.43119230
1.38333333,1161.35258484,322.94287491,838.40967941,483,0.43704355
1.40000000,1337.50006104,332.33664322,1005.16333771,490,0.44311980
1.41666667,1484.08644867,328.07759666,1156.00875854,496,0.44915845
1.43333333,1570.76914215,318.82218933,1251.94713593,501,0.45505109
1.45000000,1589.49378204,315.69962120,1273.79423523,507,0.46089432
1.46666667,1585.18829346,312.19703102,1272.99124146,513,0.46666567
1.48333333,1481.07915497,293.18553162,1187.89366150,518,0.47206449
1.50000000,1369.64441681,296.52532196,1073.11906052,524,0.47748827
1.51666667,1261.88356781,301.25636292,960.62701797,531,0.48294992
1.53333333,1070.87990952,287.66204071,783.21790695,536,0.48810700
1.55000000,866.34471130,280.51517868,585.82953072,541,0.49307350
1.56666667,860.07281876,286.07505417,573.99778938,547,0.49816553
1.58333333,1106.42482758,302.89663696,803.52830505,553,0.50362377
1.60000000,1328.70507050,313.95151138,1014.75383377,559,0.50933949
1.61666667,1571.65187073,325.35930634,1246.29249573,566,0.51531060
1.63333333,1701.17845917,314.39668655,1386.78176117,571,0.52111134
1.65000000,1758.60493469,311.75015640,1446.85466766,577,0.52687900
1.66666667,1817.87487030,325.51576996,1492.35912323,584,0.53290238
1.68333333,1779.03713989,327.14599800,1451.89122772,591,0.53893992
1.70000000,1686.26899719,328.56807137,1357.70098877,597,0.54497156
1.71666667,1578.30614471,337.79495239,1240.51107025,605,0.55112532
1.73333333,1351.68653870,324.94268227,1026.74375916,610,0.55698501
1.75000000,1095.32444000,304.84653091,790.47797394,615,0.56241484
1.76666667,895.26051331,299.38423157,595.87624359,621,0.56771322
1.78333333,988.93548203,277.84147835,711.09416199,625,0.57269024
1.80000000,1205.00606537,257.31287575,947.69300842,627,0.57735143
1.81666667,1317.34141541,225.10873127,1092.23259735,629,0.58146685
1.83333333,1441.33644867,199.82701874,1241.50942993,631,0.58514478
1.85000000,1518.15110779,183.23374462,1334.91735840,634,0.58853161
