cohort,condition,scope,registered_trials,completed_trials,eligible_trials,successful_eligible_trials,success_rate_all_registered,cost_note,startup_inclusive_seconds,input_output_tokens,uncached_input_output_tokens,cached_input_tokens,candidate_rollouts,simulation_process_starts,verification_process_starts,failed_candidates,failed_commands,mcp_errors,startup_inclusive_seconds_coverage,input_output_tokens_coverage,uncached_input_output_tokens_coverage,cached_input_tokens_coverage,candidate_rollouts_coverage,simulation_process_starts_coverage,verification_process_starts_coverage,failed_candidates_coverage,failed_commands_coverage,mcp_errors_coverage
existing_primary,ipython,all,9,9,9,9,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",605.2631983254105,1481278,244670,1236608,34,9,9,22,0,0,9,9,9,9,9,9,9,9,9,9
existing_primary,ipython,allegro,2,2,2,2,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",113.32801198586822,331536,61072,270464,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2
existing_primary,ipython,hug,2,2,2,2,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",123.17633551498875,291559,47079,244480,3,2,2,1,0,0,2,2,2,2,2,2,2,2,2,2
existing_primary,ipython,panda,2,2,2,2,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",99.63892282312736,269091,37411,231680,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2
existing_primary,ipython,panda_calibration,3,3,3,3,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",269.11992800142616,589092,99108,489984,27,3,3,21,0,0,3,3,3,3,3,3,3,3,3,3
existing_primary,live,all,9,9,9,9,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",707.1743726544082,1641505,196769,1444736,33,9,9,21,1,1,9,9,9,9,9,9,9,9,9,9
existing_primary,live,allegro,2,2,2,2,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",102.19848328782246,276665,40761,235904,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2
existing_primary,live,hug,2,2,2,2,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",133.3890972379595,314136,43800,270336,2,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2
existing_primary,live,panda,2,2,2,2,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",100.62213794700801,275571,34035,241536,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2
existing_primary,live,panda_calibration,3,3,3,3,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",370.96465418161824,775133,78173,696960,27,3,3,21,0,1,3,3,3,3,3,3,3,3,3,3
existing_primary,restart,all,9,9,9,9,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",963.8543605995364,2631231,258879,2372352,38,38,9,26,2,0,9,9,9,9,9,9,9,9,9,9
existing_primary,restart,allegro,2,2,2,2,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",114.24685771204531,326723,38467,288256,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2
existing_primary,restart,hug,2,2,2,2,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",163.1213675350882,479902,60190,419712,5,5,2,2,1,0,2,2,2,2,2,2,2,2,2,2
existing_primary,restart,panda,2,2,2,2,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",105.28463068092242,301620,31028,270592,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2
existing_primary,restart,panda_calibration,3,3,3,3,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",581.2015046714805,1522986,129194,1393792,29,29,3,24,1,0,3,3,3,3,3,3,3,3,3,3
real_primary,ipython,all,9,9,9,8,0.8888888888888888,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",3030.9580735103227,5864263,616775,5247488,204,9,18,23,0,0,9,9,9,9,9,9,9,9,9,9
real_primary,ipython,panda_real,9,9,9,8,0.8888888888888888,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",3030.9580735103227,5864263,616775,5247488,204,9,18,23,0,0,9,9,9,9,9,9,9,9,9,9
real_primary,live,all,9,9,9,8,0.8888888888888888,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",3706.8099557156675,8326155,741899,7584256,286,9,18,21,1,0,9,9,9,9,9,9,9,9,9,9
real_primary,live,panda_real,9,9,9,8,0.8888888888888888,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",3706.8099557156675,8326155,741899,7584256,286,9,18,21,1,0,9,9,9,9,9,9,9,9,9,9
real_primary,restart,all,9,9,9,8,0.8888888888888888,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",3872.8523729396984,8032439,594743,7437696,125,125,18,15,1,0,9,9,9,9,9,9,9,9,9,9
real_primary,restart,panda_real,9,9,9,8,0.8888888888888888,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",3872.8523729396984,8032439,594743,7437696,125,125,18,15,1,0,9,9,9,9,9,9,9,9,9,9
sensitivity,ipython_fixed,all,7,7,7,7,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",1026.0849221898243,2056729,336409,1720320,57,7,10,16,0,0,7,7,7,7,7,7,7,7,7,7
sensitivity,ipython_fixed,allegro,1,1,1,1,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",55.27200870588422,134041,15513,118528,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
sensitivity,ipython_fixed,hug,1,1,1,1,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",64.39126262674108,149254,23686,125568,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
sensitivity,ipython_fixed,panda,1,1,1,1,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",50.855467951856554,135997,15037,120960,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
sensitivity,ipython_fixed,panda_calibration,1,1,1,1,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",78.6056092469953,160161,19873,140288,9,1,1,8,0,0,1,1,1,1,1,1,1,1,1,1
sensitivity,ipython_fixed,panda_real,3,3,3,3,1.0,"All completed rows contribute observed costs, including failures/ineligible trials. Missing final usage is not evidence of zero token expenditure.",776.9605736583471,1477276,262300,1214976,45,3,6,8,0,0,3,3,3,3,3,3,3,3,3,3
