id,cohort,scenario,variant,condition,status,eligible,physics_success,success,eligible_success,usage_observed,usage_complete,agent_elapsed_seconds,application_startup_seconds,startup_inclusive_seconds,input_output_tokens,uncached_input_output_tokens,cached_input_tokens,candidate_rollouts,simulation_process_starts,verification_process_starts,failed_candidates,failed_commands,mcp_errors,input_tokens,output_tokens,uncached_input_tokens,reasoning_output_tokens,tool_items,mcp_tool_items
panda-live-0,existing_primary,panda,0,live,completed,True,True,True,True,True,True,46.867034330032766,3.557588816154748,50.424623146187514,137480,15112,122368,1,1,1,0,0,0,136393,1087,14025,291,8,2
panda-restart-0,existing_primary,panda,0,restart,completed,True,True,True,True,True,True,42.92831723066047,0.0,42.92831723066047,144082,15314,128768,1,1,1,0,0,0,143233,849,14465,179,7,0
panda-ipython-0,existing_primary,panda,0,ipython,completed,True,True,True,True,True,True,44.48019630089402,3.8076045853085816,48.287800886202604,128382,16766,111616,1,1,1,0,0,0,127322,1060,15706,169,8,2
panda_real-live-2,real_primary,panda_real,2,live,completed,True,True,True,True,True,True,435.84964347910136,3.507349922321737,439.3569934014231,1314628,82244,1232384,29,1,2,1,0,0,1302699,11929,70315,4937,25,11
panda_real-ipython-2,real_primary,panda_real,2,ipython,completed,True,True,True,True,True,True,463.2608340042643,3.9590252470225096,467.21985925128683,960826,98746,862080,37,1,2,4,0,0,947404,13422,85324,6017,19,14
panda_real-restart-2,real_primary,panda_real,2,restart,completed,True,True,True,True,True,True,420.56953959167004,0.0,420.56953959167004,893905,66641,827264,12,12,2,2,0,0,882279,11626,55015,5193,23,0
panda-ipython-1,existing_primary,panda,1,ipython,completed,True,True,True,True,True,True,47.48461251799017,3.8665094189345837,51.351121936924756,140709,20645,120064,1,1,1,0,0,0,139617,1092,19553,181,8,2
panda-live-1,existing_primary,panda,1,live,completed,True,True,True,True,True,True,46.68954374687746,3.507971053943038,50.1975148008205,138091,18923,119168,1,1,1,0,0,0,137070,1021,17902,199,8,2
panda-restart-1,existing_primary,panda,1,restart,completed,True,True,True,True,True,True,62.35631345026195,0.0,62.35631345026195,157538,15714,141824,1,1,1,0,0,0,156021,1517,14197,598,8,0
panda_real-live-0,real_primary,panda_real,0,live,completed,True,True,True,True,True,True,321.2619511829689,3.5068772840313613,324.7688284670003,688589,68429,620160,24,1,2,3,0,0,679338,9251,59178,3681,20,8
panda_real-restart-0,real_primary,panda_real,0,restart,completed,True,True,True,True,True,True,317.9787784027867,0.0,317.9787784027867,586709,52949,533760,9,9,2,1,0,0,577505,9204,43745,3306,20,0
panda_real-ipython-0,real_primary,panda_real,0,ipython,completed,True,True,True,True,True,True,233.2075043641962,3.8265564497560263,237.03406081395224,508822,58518,450304,13,1,2,2,0,0,502030,6792,51726,2515,16,11
hug-restart-0,existing_primary,hug,0,restart,completed,True,True,True,True,True,True,78.88211563695222,0.0,78.88211563695222,220000,29024,190976,2,2,1,1,1,0,218040,1960,27064,208,13,0
hug-ipython-0,existing_primary,hug,0,ipython,completed,True,True,True,True,True,True,59.45049963472411,4.383295082021505,63.833794716745615,150999,30551,120448,2,1,1,1,0,0,149547,1452,29099,213,8,5
hug-live-0,existing_primary,hug,0,live,completed,True,True,True,True,True,True,66.67287423694506,3.657302599865943,70.330176836811,154384,19984,134400,1,1,1,0,0,0,152905,1479,18505,294,9,2
hug-live-1,existing_primary,hug,1,live,completed,True,True,True,True,True,True,59.451801585033536,3.607118816114962,63.0589204011485,159752,23816,135936,1,1,1,0,1,0,158220,1532,22284,299,11,3
hug-restart-1,existing_primary,hug,1,restart,completed,True,True,True,True,True,True,84.23925189813599,0.0,84.23925189813599,259902,31166,228736,3,3,1,1,0,0,258088,1814,29352,487,11,0
hug-ipython-1,existing_primary,hug,1,ipython,completed,True,True,True,True,True,True,55.1444207043387,4.198120093904436,59.342540798243135,140560,16528,124032,1,1,1,0,0,0,139308,1252,15276,172,9,3
panda_real-restart-3,real_primary,panda_real,3,restart,completed,True,False,False,False,True,True,589.7882999051362,0.0,589.7882999051362,1248229,79589,1168640,25,25,2,2,1,0,1232163,16066,63523,7009,31,0
panda_real-ipython-3,real_primary,panda_real,3,ipython,completed,True,False,False,False,True,True,230.90392285306007,3.8149821129627526,234.71890496602282,509305,66297,443008,11,1,2,2,0,0,502850,6455,59842,2569,17,11
panda_real-live-3,real_primary,panda_real,3,live,completed,True,True,True,True,True,True,310.67103972798213,3.557277923915535,314.22831765189767,585563,91483,494080,37,1,2,2,0,0,576990,8573,82910,3626,19,7
allegro-live-1,existing_primary,allegro,1,live,completed,True,True,True,True,True,True,48.202102853916585,2.6047260090708733,50.80682886298746,138065,24273,113792,1,1,1,0,0,0,137111,954,23319,173,8,2
allegro-ipython-1,existing_primary,allegro,1,ipython,completed,True,True,True,True,True,True,51.94174465397373,2.8919454938732088,54.83369014784694,190263,23735,166528,1,1,1,0,0,0,189169,1094,22641,125,9,2
allegro-restart-1,existing_primary,allegro,1,restart,completed,True,True,True,True,True,True,52.942470581270754,0.0,52.942470581270754,173856,21664,152192,1,1,1,0,0,0,172813,1043,20621,156,10,0
panda_real-ipython-6,real_primary,panda_real,6,ipython,completed,True,True,True,True,True,True,241.9192771250382,3.992453769315034,245.91173089435324,424372,55604,368768,14,1,2,3,0,0,417537,6835,48769,2578,14,9
panda_real-restart-6,real_primary,panda_real,6,restart,completed,True,True,True,True,True,True,413.5162273161113,0.0,413.5162273161113,734828,64492,670336,15,15,2,4,0,0,722903,11925,52567,4193,23,0
panda_real-live-6,real_primary,panda_real,6,live,completed,True,True,True,True,True,True,427.88804701389745,3.5070170080289245,431.3950640219264,801406,76158,725248,33,1,2,2,0,0,789432,11974,64184,5387,23,8
panda_real-ipython-1,real_primary,panda_real,1,ipython,completed,True,True,True,True,True,True,298.6522797769867,3.83455126080662,302.4868310377933,656287,67231,589056,20,1,2,2,0,0,648402,7885,59346,2785,17,12
panda_real-live-1,real_primary,panda_real,1,live,completed,True,True,True,True,True,True,304.90633521415293,3.5069284019991755,308.4132636161521,588791,73719,515072,22,1,2,3,0,0,579952,8839,64880,3700,16,6
panda_real-restart-1,real_primary,panda_real,1,restart,completed,True,True,True,True,True,True,279.4845924321562,0.0,279.4845924321562,709612,58092,651520,5,5,2,1,0,0,701829,7783,50309,2052,18,0
panda_calibration-restart-1,existing_primary,panda_calibration,1,restart,completed,True,True,True,True,True,True,228.80087313894182,0.0,228.80087313894182,617952,40800,577152,10,10,1,8,1,0,612936,5016,35784,1091,16,0
panda_calibration-live-1,existing_primary,panda_calibration,1,live,completed,True,True,True,True,True,True,91.1589979478158,3.5582125512883067,94.71721049910411,208468,21204,187264,9,1,1,5,0,0,206416,2052,19152,292,9,5
panda_calibration-ipython-1,existing_primary,panda_calibration,1,ipython,completed,True,True,True,True,True,True,73.6719963522628,3.7958554020151496,77.46785175427794,154806,29238,125568,9,1,1,5,0,0,153133,1673,27565,113,10,4
