case,ovstage,scene,mode,domain,motion,transport,population_s,median_ms,p95_ms,publish_ms,rss_mib,gpu_mib,matrix_max_abs_error
anymal_1_generated_all_1,0.2.0.377349,anymal_1,generated,all,False,cuda,0.5167642000014894,2.5571500009391457,3.130400000372901,,3423.875,2770.87890625,
anymal_1_source_all_1,0.2.0.377349,anymal_1,source,all,False,cuda,0.10813049999705981,2.5666500005172566,3.437475008104229,,3956.31640625,3582.65234375,4.76837188290169e-07
anymal_64_generated_all_1,0.2.0.377349,anymal_64,generated,all,False,cuda,0.9926291000010679,2.93805000546854,3.3176499884575605,,3523.5625,2754.30078125,
anymal_64_source_all_motion_1,0.2.0.377349,anymal_64,source,all,True,cuda,0.7895828000037,41.066300007514656,53.77677499272977,21.915800003625918,3504.546875,3237.7421875,4.768373003116722e-07
anymal_64_source_rendering_motion_1,0.2.0.377349,anymal_64,source,rendering,True,cuda,0.21443939999153372,41.37849999824539,49.77128499376704,22.56054999452317,3519.625,3237.34375,4.768373003116722e-07
anymal_marble_1_generated_all_1,0.2.0.377349,anymal_marble_1,generated,all,False,cuda,0.48168479999003466,2.7023500006180257,3.6037749930983405,,3399.578125,2706.1484375,
anymal_marble_1_source_all_1,0.2.0.377349,anymal_marble_1,source,all,False,cuda,0.18761870000162162,2.79094999859808,3.4313450029003434,,3590.1796875,2869.6484375,4.76837188290169e-07
cartpole_1_generated_all_1,0.2.0.377349,cartpole_1,generated,all,False,cuda,0.031119200008106418,3.158449995680712,3.7102750044141426,,3386.203125,2641.8125,
cartpole_1_source_all_1,0.2.0.377349,cartpole_1,source,all,False,cuda,0.05176190000202041,2.7684000015142374,3.514704990811879,,3460.43359375,3173.16796875,4.768371866248344e-07
franka_1_generated_all_1,0.2.0.377349,franka_1,generated,all,False,cuda,0.47784009999304544,2.8581500009750016,3.9647949932259507,,3394.59765625,2643.78515625,
franka_1_source_all_1,0.2.0.377349,franka_1,source,all,False,cuda,0.08398600001237355,3.8451000000350177,4.516710004827473,,3471.296875,3174.21484375,2.4535185487728484e-06
anymal_64_source_all_motion_2,0.2.0.378985,anymal_64,source,all,True,cuda,0.49385759999859147,45.92815000069095,60.01271499480936,24.3775499984622,6535.9296875,3518.26171875,4.768373003116722e-07
anymal_64_source_all_motion_2_cpu,0.2.0.378985,anymal_64,source,all,True,cpu,0.507265299995197,42.48290000396082,51.21897499848273,21.902400003455114,3510.0,3236.953125,4.768373003116722e-07
